CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,crime_hour
GRAND THEFT,2025 Jan 07 11:25:00 AM,25-900262,GRAND THEFT,"03X",100 9TH ST,Oakland,CA,11
GRAND THEFT,2025 Jan 07 12:00:00 PM,25-900701,GRAND THEFT,25X,3900 HIGH ST,Oakland,CA,12
PETTY THEFT,2025 Jan 07 12:00:00 PM,25-001253,THEFT,22Y,2900 FLORIDA ST,Oakland,CA,12
PETTY THEFT,2025 Jan 07 12:00:00 PM,25-000986,THEFT,19X,1000 4TH AV,Oakland,CA,12
PETTY THEFT,2025 Jan 07 12:15:00 PM,25-901107,THEFT,"01X","00 BROADWAY",Oakland,CA,12
GRAND THEFT,2025 Jan 07 02:00:00 PM,25-002375,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,22Y,4100 REDWOOD RD,Oakland,CA,14
PETTY THEFT,2025 Jan 07 02:20:00 PM,25-001056,THEFT,33X,9300 INTERNATIONAL BLVD,Oakland,CA,14
PETTY THEFT,2025 Jan 07 03:00:00 PM,25-904780,THEFT,14Y,3700 GRAND AV,Oakland,CA,15
PETTY THEFT,2025 Jan 07 03:29:00 PM,25-001060,THEFT,"03X",100 11TH ST,Oakland,CA,15
PETTY THEFT,2025 Jan 07 03:30:00 PM,25-900357,THEFT,"01X","00 BROADWAY",Oakland,CA,15
PETTY THEFT,2025 Jan 07 03:45:00 PM,25-001090,THEFT,17Y,1300 E 33RD ST,Oakland,CA,15
PETTY THEFT,2025 Jan 07 05:30:00 PM,25-904275,THEFT,"08X",2300 VALDEZ ST,Oakland,CA,17
PETTY THEFT,2025 Jan 07 06:45:00 PM,25-001356,THEFT,27X,5200 YGNACIO AV,Oakland,CA,18
PETTY THEFT,2025 Jan 07 07:00:00 PM,25-900280,THEFT,13Z,2200 MOUNTAIN BLVD,Oakland,CA,19
ROBBERY,2025 Jan 07 07:00:00 PM,24-001256,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","08X",2300 BROADWAY,Oakland,CA,19
PETTY THEFT,2025 Jan 07 07:17:00 PM,25-001247,THEFT,35Y,2900 BARRETT ST,Oakland,CA,19
ROBBERY,2025 Jan 07 07:45:00 PM,25-001101,CARJACKING WITH FIREARM,27X,5200 FOOTHILL BLVD,Oakland,CA,19
