CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,crime_hour
PETTY THEFT,2026 Jun 21 12:00:00 AM,26-026599,TAMPER WITH VEHICLE,20X,1700 27TH AV,Oakland,CA,0
PETTY THEFT,2026 Jun 21 04:00:00 AM,26-026839,THEFT,"05X",1900 BRUSH ST,Oakland,CA,4
GRAND THEFT,2026 Jun 21 04:30:00 AM,26-026483,GRAND THEFT FROM PERSON,19X,1700 GLEASON WY,Oakland,CA,4
PETTY THEFT,2026 Jun 21 07:48:00 AM,26-026488,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,21Y,3200 FOOTHILL BLVD,Oakland,CA,7
GRAND THEFT,2026 Jun 21 08:30:00 AM,26-907298,GRAND THEFT,"07X",1200 26TH ST,Oakland,CA,8
PETTY THEFT,2026 Jun 21 12:00:00 PM,26-026863,THEFT,21X,3100 MCKILLOP RD,Oakland,CA,12
PETTY THEFT,2026 Jun 21 05:00:00 PM,26-026618,THEFT,23X,1200 40TH AV,Oakland,CA,17
GRAND THEFT,2026 Jun 21 08:00:00 PM,26-907842,GRAND THEFT,"08X",3000 BROADWAY,Oakland,CA,20
ROBBERY,2026 Jun 21 09:40:00 PM,26-026553,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",14X,200 LENOX AV,Oakland,CA,21
ROBBERY,2026 Jun 21 09:50:00 PM,26-026554,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","09X",4100 PIEDMONT AV,Oakland,CA,21
PETTY THEFT,2026 Jun 22 12:00:00 AM,26-026847,THEFT,32X,9900 HOLLY ST,Oakland,CA,0
PETTY THEFT,2026 Jun 22 12:00:00 AM,26-027036,THEFT,23X,3500 E 12TH ST,Oakland,CA,0
PETTY THEFT,2026 Jun 22 12:00:00 AM,26-027052,THEFT,31Z,700 105TH AV,Oakland,CA,0
GRAND THEFT,2026 Jun 22 12:23:00 AM,26-026569,GRAND THEFT,13Y,5700 THORNHILL DR,Oakland,CA,0
PETTY THEFT,2026 Jun 22 03:00:00 AM,26-026590,THEFT,27X,2000 47TH AV,Oakland,CA,3
GRAND THEFT,2026 Jun 22 04:17:00 AM,26-907311,GRAND THEFT,19X,1000 7TH AV,Oakland,CA,4
PETTY THEFT,2026 Jun 22 07:00:00 AM,26-026600,THEFT,20X,1200 26TH AV,Oakland,CA,7
PETTY THEFT,2026 Jun 22 07:19:00 AM,26-026587,THEFT,23X,3200 FOOTHILL BLVD,Oakland,CA,7
PETTY THEFT,2026 Jun 22 08:00:00 AM,26-026671,THEFT,17Y,2500 7TH AV,Oakland,CA,8
PETTY THEFT,2026 Jun 22 11:40:00 AM,26-026828,TRESPASS:REFUSE TO LEAVE PROPERTY,"08X",500 31ST ST,Oakland,CA,11
PETTY THEFT,2026 Jun 22 11:40:00 AM,26-026828,THEFT,"08X",500 31ST ST,Oakland,CA,11
PETTY THEFT,2026 Jun 22 12:00:00 PM,26-027217,THEFT,12Y,400 CLIFTON ST,Oakland,CA,12
PETTY THEFT,2026 Jun 22 02:00:00 PM,26-028033,THEFT,17Y,1000 E 24TH ST,Oakland,CA,14
PETTY THEFT,2026 Jun 22 02:00:00 PM,26-026629,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,23X,4000 ALAMEDA AV,Oakland,CA,14
PETTY THEFT,2026 Jun 22 03:00:00 PM,26-026898,THEFT,16Y,4700 EL CENTRO AV,Oakland,CA,15
ROBBERY,2026 Jun 22 03:15:00 PM,26-026660,ATTEMPTED ROBBERY-STRONG-ARM,"07X",700 W GRAND AV,Oakland,CA,15
GRAND THEFT,2026 Jun 22 03:20:00 PM,26-026845,TRESPASS:POSTED LAND:REFUSE TO LEAVE,18Y,2500 14TH AV,Oakland,CA,15
GRAND THEFT,2026 Jun 22 03:20:00 PM,26-026845,GRAND THEFT,18Y,2500 14TH AV,Oakland,CA,15
GRAND THEFT,2026 Jun 22 04:10:00 PM,26-026677,GRAND THEFT:AUTO,10Y,900 46TH ST,Oakland,CA,16
GRAND THEFT,2026 Jun 22 04:10:00 PM,26-026677,ANY PERSON WHO WILLFULLY THREATENS TO COMMIT A CRIME WHICH WILL RESULT IN DEATH OR GREAT BODILY INJURY TO ANOTHER PERSON,10Y,900 46TH ST,Oakland,CA,16
GRAND THEFT,2026 Jun 22 04:10:00 PM,26-026677,VANDALISM:DEFACE PROPERTY,10Y,900 46TH ST,Oakland,CA,16
ROBBERY,2026 Jun 22 06:00:00 PM,26-026682,PREVENT/DISSUADE WITNESS/VICTIM FROM  REPORTING (AMENDED),"07X",2400 WOOD ST,Oakland,CA,18
ROBBERY,2026 Jun 22 06:00:00 PM,26-026682,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,"07X",2400 WOOD ST,Oakland,CA,18
ROBBERY,2026 Jun 22 06:00:00 PM,26-026682,ROBBERY-KNIFE OR CUTTING INSTRUMENT,"07X",2400 WOOD ST,Oakland,CA,18
PETTY THEFT,2026 Jun 22 08:00:00 PM,26-026946,THEFT,29X,6100 MAURITANIA AV,Oakland,CA,20
GRAND THEFT,2026 Jun 22 09:00:00 PM,26-027120,GRAND THEFT:FIREARM/ANIMAL/ETC,22X,3400 DIMOND AV,Oakland,CA,21
ROBBERY,2026 Jun 22 09:20:00 PM,26-026701,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","04X",2000 FRANKLIN ST,Oakland,CA,21
ROBBERY,2026 Jun 22 09:20:00 PM,26-026701,"ROBBERY/ATM - STRONGARM (HANDS, FISTS, FEET)","04X",2000 FRANKLIN ST,Oakland,CA,21
ROBBERY,2026 Jun 22 09:38:00 PM,26-026689,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",14X,200 LEE ST,Oakland,CA,21
ROBBERY,2026 Jun 22 10:13:00 PM,26-026695,ROBBERY-FIREARM,23X,3400 INTERNATIONAL BLVD,Oakland,CA,22
GRAND THEFT,2026 Jun 22 11:45:00 PM,26-907327,GRAND THEFT,28X,2700 MADERA AV,Oakland,CA,23
PETTY THEFT,2026 Jun 23 12:00:00 AM,26-027324,THEFT,32X,9800 E ST,Oakland,CA,0
PETTY THEFT,2026 Jun 23 12:00:00 AM,26-027555,THEFT,21Y,3000 CURRAN AV,Oakland,CA,0
PETTY THEFT,2026 Jun 23 12:00:00 AM,26-027325,THEFT,32X,9800 E ST,Oakland,CA,0
PETTY THEFT,2026 Jun 23 12:00:00 AM,26-027430,THEFT,99X,3800 ST,Oakland,CA,0
PETTY THEFT,2026 Jun 23 12:00:00 AM,26-027232,THEFT,11X,6500 SHATTUCK AV,Oakland,CA,0
ROBBERY,2026 Jun 23 12:30:00 AM,26-026975,CARJACKING WITH OTHER DANGEROUS WEAPON,27X,1900 47TH AV,Oakland,CA,0
PETTY THEFT,2026 Jun 23 02:30:00 AM,26-027026,THEFT,31Y,9500 EDES AV,Oakland,CA,2
GRAND THEFT,2026 Jun 23 03:05:00 AM,26-907777,GRAND THEFT,17Y,2200 8TH AV,Oakland,CA,3
PETTY THEFT,2026 Jun 23 07:30:00 AM,26-026853,THEFT,77X,2900 4TH ST,Oakland,CA,7
PETTY THEFT,2026 Jun 23 09:00:00 AM,26-026986,THEFT,21Y,3100 BROOKDALE AV,Oakland,CA,9
PETTY THEFT,2026 Jun 23 09:40:00 AM,26-026969,THEFT,"02X",1100 FILBERT ST,Oakland,CA,9
GRAND THEFT,2026 Jun 23 11:30:00 AM,26-907326,GRAND THEFT,24Y,4200 SUTER ST,Oakland,CA,11
PETTY THEFT,2026 Jun 23 12:00:00 PM,26-027015,THEFT,"01X",400 ALICE ST,Oakland,CA,12
GRAND THEFT,2026 Jun 23 01:30:00 PM,26-907186,GRAND THEFT,13Z,5800 MENDOZA DR,Oakland,CA,13
GRAND THEFT,2026 Jun 23 01:31:50 PM,26-026867,GRAND THEFT,32Y,2100 105TH AV,Oakland,CA,13
PETTY THEFT,2026 Jun 23 03:00:00 PM,26-027166,THEFT,"02Y",1400 5TH ST,Oakland,CA,15
GRAND THEFT,2026 Jun 23 08:00:00 PM,26-907304,GRAND THEFT,28X,2600 BEST AV,Oakland,CA,20
GRAND THEFT,2026 Jun 23 08:25:00 PM,26-907295,GRAND THEFT,12X,400 51ST ST,Oakland,CA,20
PETTY THEFT,2026 Jun 23 09:00:00 PM,26-907291,THEFT,"07X",3200 SAN PABLO AV,Oakland,CA,21
GRAND THEFT,2026 Jun 23 09:05:00 PM,26-907319,GRAND THEFT,22Y,100 KIMBERLIN HEIGHTS DR,Oakland,CA,21
PETTY THEFT,2026 Jun 23 11:00:00 PM,26-027045,THEFT,22Y,3400 MACARTHUR BLVD,Oakland,CA,23
GRAND THEFT,2026 Jun 24 12:00:00 AM,26-027029,GRAND THEFT,32X,1800 104TH AV,Oakland,CA,0
GRAND THEFT,2026 Jun 24 12:00:00 AM,26-029052,GRAND THEFT,22X,3400 FRUITVALE AV,Oakland,CA,0
PETTY THEFT,2026 Jun 24 02:00:00 AM,26-027019,THEFT,26Y,1100 64TH AV,Oakland,CA,2
PETTY THEFT,2026 Jun 24 07:00:00 AM,26-026982,THEFT,33X,1000 84TH AV,Oakland,CA,7
PETTY THEFT,2026 Jun 24 12:00:00 PM,26-027130,PETTY THEFT:$50-,"02X",1100 7TH ST,Oakland,CA,12
GRAND THEFT,2026 Jun 24 01:03:00 PM,26-027001,GRAND THEFT,15X,500 WESLEY AV,Oakland,CA,13
PETTY THEFT,2026 Jun 24 02:20:00 PM,26-027105,THEFT,17X,2000 13TH AV,Oakland,CA,14
PETTY THEFT,2026 Jun 24 04:17:00 PM,26-027027,THEFT,31Y,9400 EDES AV,Oakland,CA,16
PETTY THEFT,2026 Jun 24 05:00:00 PM,26-027118,THEFT,25X,4100 REDDING ST,Oakland,CA,17
PETTY THEFT,2026 Jun 24 05:00:00 PM,26-027143,THEFT,"07X",1200 34TH ST,Oakland,CA,17
PETTY THEFT,2026 Jun 24 05:00:00 PM,26-030136,THEFT,"01X",200 BROADWAY,Oakland,CA,17
GRAND THEFT,2026 Jun 24 05:45:00 PM,26-907308,GRAND THEFT,12X,500 49TH ST,Oakland,CA,17
GRAND THEFT,2026 Jun 24 06:05:00 PM,26-027074,GRAND THEFT:FIREARM/ANIMAL/ETC,"08X",27TH ST & TELEGRAPH AV,Oakland,CA,18
PETTY THEFT,2026 Jun 24 07:00:00 PM,26-027088,PETTY THEFT -$50,24Y,3100 38TH AV,Oakland,CA,19
PETTY THEFT,2026 Jun 24 07:00:00 PM,26-029006,THEFT,22X,2400 POTOMAC ST,Oakland,CA,19
GRAND THEFT,2026 Jun 24 08:00:00 PM,26-907322,GRAND THEFT,"02X",1200 8TH ST,Oakland,CA,20
PETTY THEFT,2026 Jun 24 09:30:00 PM,26-027114,PETTY THEFT:$50-,"02X",1100 8TH ST,Oakland,CA,21
PETTY THEFT,2026 Jun 24 09:40:00 PM,26-907302,THEFT,"03Y",900 WASHINGTON ST,Oakland,CA,21
PETTY THEFT,2026 Jun 24 09:50:00 PM,26-027345,THEFT,12X,400 48TH ST,Oakland,CA,21
PETTY THEFT,2026 Jun 25 12:00:00 AM,26-030712,THEFT,"07X",2900 LINDEN ST,Oakland,CA,0
GRAND THEFT,2026 Jun 25 01:00:00 AM,26-907318,GRAND THEFT,12X,400 42ND ST,Oakland,CA,1
PETTY THEFT,2026 Jun 25 04:00:00 AM,26-027299,THEFT,30Y,2600 73RD AV,Oakland,CA,4
GRAND THEFT,2026 Jun 25 06:00:00 AM,26-907306,GRAND THEFT,"02X",7TH ST & MANDELA PKWY,Oakland,CA,6
PETTY THEFT,2026 Jun 25 08:00:00 AM,26-027859,THEFT,15X,500 BODEN WY,Oakland,CA,8
PETTY THEFT,2026 Jun 25 09:00:00 AM,26-030118,THEFT,13Y,5800 PINEWOOD RD,Oakland,CA,9
PETTY THEFT,2026 Jun 25 10:00:00 AM,26-907321,THEFT,"01X",100 CLAY ST,Oakland,CA,10
PETTY THEFT,2026 Jun 25 11:40:00 AM,26-027138,THEFT,15X,300 NEWTON AV,Oakland,CA,11
PETTY THEFT,2026 Jun 25 11:50:00 AM,26-028024,THEFT,17Y,9TH AV & E 21ST ST,Oakland,CA,11
GRAND THEFT,2026 Jun 25 12:00:00 PM,26-907317,GRAND THEFT,17Y,7TH AV & IVY DR,Oakland,CA,12
PETTY THEFT,2026 Jun 25 12:28:00 PM,26-027133,THEFT,32Y,10700 MACARTHUR BLVD,Oakland,CA,12
PETTY THEFT,2026 Jun 25 12:58:00 PM,26-027139,THEFT,35X,8400 ASTER AV,Oakland,CA,12
GRAND THEFT,2026 Jun 25 01:00:00 PM,26-027401,TRESPASS:OCCUPY PROPERTY W/O CONSENT,"06X",900 35TH ST,Oakland,CA,13
GRAND THEFT,2026 Jun 25 01:00:00 PM,26-027401,GRAND THEFT,"06X",900 35TH ST,Oakland,CA,13
PETTY THEFT,2026 Jun 25 01:13:00 PM,26-027214,THEFT PERSONAL PROPERTY/PETTY THEFT,"04X",600 15TH ST,Oakland,CA,13
GRAND THEFT,2026 Jun 25 04:00:00 PM,26-027698,GRAND THEFT,13Y,6900 PINEHAVEN RD,Oakland,CA,16
PETTY THEFT,2026 Jun 25 07:33:00 PM,26-027207,OBTAIN MONEY/ETC BY FALSE PRETENSES [OVER $400],22X,3500 FRUITVALE AV,Oakland,CA,19
PETTY THEFT,2026 Jun 25 07:51:00 PM,26-027202,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,20X,2400 INTERNATIONAL BLVD,Oakland,CA,19
PETTY THEFT,2026 Jun 25 08:00:00 PM,26-027505,THEFT,31Z,600 LA PRENDA DR,Oakland,CA,20
PETTY THEFT,2026 Jun 25 08:00:00 PM,26-027326,THEFT,18Y,2100 21ST AV,Oakland,CA,20
PETTY THEFT,2026 Jun 25 08:16:00 PM,26-027224,THEFT,18X,1800 E 17TH ST,Oakland,CA,20
PETTY THEFT,2026 Jun 25 08:30:00 PM,26-030360,THEFT,29X,3700 DELMONT AV,Oakland,CA,20
PETTY THEFT,2026 Jun 25 09:49:00 PM,26-027226,THEFT,27Y,1400 SEMINARY AV,Oakland,CA,21
GRAND THEFT,2026 Jun 25 09:55:00 PM,26-907314,GRAND THEFT,12X,400 48TH ST,Oakland,CA,21
PETTY THEFT,2026 Jun 26 12:00:00 AM,26-027305,THEFT,"07X",1200 28TH ST,Oakland,CA,0
PETTY THEFT,2026 Jun 26 12:00:00 AM,26-027306,THEFT,"04X",1500 JACKSON ST,Oakland,CA,0
GRAND THEFT,2026 Jun 26 02:17:00 AM,26-027236,GRAND THEFT,10Y,4100 LUSK ST,Oakland,CA,2
PETTY THEFT,2026 Jun 26 03:00:00 AM,26-027270,THEFT,"03Y",400 7TH ST,Oakland,CA,3
GRAND THEFT,2026 Jun 26 03:00:00 AM,26-907316,GRAND THEFT,"09X",4200 GILBERT ST,Oakland,CA,3
GRAND THEFT,2026 Jun 26 04:00:00 AM,26-027398,GRAND THEFT,29X,5700 PICARDY DR,Oakland,CA,4
PETTY THEFT,2026 Jun 26 06:30:00 AM,26-027256,THEFT,17X,800 E 21ST ST,Oakland,CA,6
GRAND THEFT,2026 Jun 26 08:30:00 AM,26-907315,GRAND THEFT,22X,3500 DIMOND AV,Oakland,CA,8
GRAND THEFT,2026 Jun 26 09:00:00 AM,26-027990,THEFT,12Y,5300 MANILA AV,Oakland,CA,9
GRAND THEFT,2026 Jun 26 09:00:00 AM,26-027990,TAMPER WITH VEHICLE,12Y,5300 MANILA AV,Oakland,CA,9
ROBBERY,2026 Jun 26 09:34:00 AM,26-027227,SEXUAL BATTERY,"08X",300 24TH ST,Oakland,CA,9
ROBBERY,2026 Jun 26 09:34:00 AM,26-027227,ROBBERY-FIREARM,"08X",300 24TH ST,Oakland,CA,9
PETTY THEFT,2026 Jun 26 10:51:00 AM,26-027978,THEFT,19X,1500 6TH AV,Oakland,CA,10
PETTY THEFT,2026 Jun 26 11:03:00 AM,26-027283,THEFT,34X,1400 89TH AV,Oakland,CA,11
PETTY THEFT,2026 Jun 26 12:00:00 PM,26-035797,THEFT,19X,2200 INTERNATIONAL BLVD,Oakland,CA,12
PETTY THEFT,2026 Jun 26 03:10:00 PM,26-027315,THEFT,30Y,2600 73RD AV,Oakland,CA,15
ROBBERY,2026 Jun 26 03:15:00 PM,26-027327,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",15X,300 NEWTON AV,Oakland,CA,15
PETTY THEFT,2026 Jun 26 08:00:00 PM,26-027508,THEFT,28X,3200 MADERA AV,Oakland,CA,20
PETTY THEFT,2026 Jun 26 08:00:00 PM,26-028891,THEFT,12Y,6300 COLLEGE AV,Oakland,CA,20
ROBBERY,2026 Jun 26 08:50:00 PM,26-027359,ROBBERY-FIREARM,"09X","00 MONTE VISTA AV",Oakland,CA,20
PETTY THEFT,2026 Jun 26 09:00:00 PM,26-027608,THEFT,10Y,800 52ND ST,Oakland,CA,21
PETTY THEFT,2026 Jun 26 10:00:00 PM,26-027567,THEFT,18X,1900 E 20TH ST,Oakland,CA,22
PETTY THEFT,2026 Jun 27 12:00:00 AM,26-027581,THEFT,19X,1200 23RD AV,Oakland,CA,0
PETTY THEFT,2026 Jun 27 12:00:00 AM,26-027478,THEFT,77X,,Oakland,CA,0
PETTY THEFT,2026 Jun 27 12:00:00 AM,26-027428,THEFT,77X,WEST OAKLAND PLANET FITNESS,Oakland,CA,0
PETTY THEFT,2026 Jun 27 12:00:00 AM,26-027588,THEFT,27X,5200 BELVEDERE ST,Oakland,CA,0
ROBBERY,2026 Jun 27 02:10:00 AM,26-027389,ROBBERY-FIREARM,"03X",1300 HARRISON ST,Oakland,CA,2
PETTY THEFT,2026 Jun 27 10:50:00 AM,26-027953,THEFT,27Y,5400 BANCROFT AV,Oakland,CA,10
GRAND THEFT,2026 Jun 27 11:00:00 AM,26-027427,SC GRAND THEFT,77X,UNKNOWN,Oakland,CA,11
PETTY THEFT,2026 Jun 27 03:00:00 PM,26-027464,THEFT,77X,,Oakland,CA,15
PETTY THEFT,2026 Jun 27 04:15:00 PM,26-027452,THEFT,"03Y",400 7TH ST,Oakland,CA,16
ROBBERY,2026 Jun 27 06:10:00 PM,26-027481,ROBBERY-FIREARM,15X,200 E 18TH ST,Oakland,CA,18
ROBBERY,2026 Jun 27 06:30:00 PM,26-027482,ROBBERY-FIREARM,"04X",21ST ST & KAISER PLZ,Oakland,CA,18
PETTY THEFT,2026 Jun 27 10:45:00 PM,26-027491,THEFT,"03Y",400 7TH ST,Oakland,CA,22
GRAND THEFT,2026 Jun 27 11:00:00 PM,26-027782,GRAND THEFT,"03Y",400 7TH ST,Oakland,CA,23
PETTY THEFT,2026 Jun 28 12:00:00 AM,26-027607,THEFT,99X,200 JIBBOOM ST,Oakland,CA,0
PETTY THEFT,2026 Jun 28 12:00:00 AM,26-027611,THEFT,11X,5800 MACCALL ST,Oakland,CA,0
PETTY THEFT,2026 Jun 28 12:00:00 AM,26-027997,THEFT,17Y,2600 IVY DR,Oakland,CA,0
PETTY THEFT,2026 Jun 28 12:00:00 AM,26-027917,THEFT,"06X",700 26TH ST,Oakland,CA,0
ROBBERY,2026 Jun 28 12:01:00 AM,26-027546,ROBBERY-FIREARM,"02Y",900 CAMPBELL ST,Oakland,CA,0
PETTY THEFT,2026 Jun 28 12:16:00 AM,26-027674,OBTAIN MONEY/ETC BY FALSE PRETENSES,16X,1100 TRESTLE GLEN RD,Oakland,CA,0
ROBBERY,2026 Jun 28 12:50:00 AM,26-027511,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,"03X",1100 FRANKLIN ST,Oakland,CA,0
ROBBERY,2026 Jun 28 12:50:00 AM,26-027511,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","03X",1100 FRANKLIN ST,Oakland,CA,0
ROBBERY,2026 Jun 28 02:30:00 AM,26-027521,ROBBERY-FIREARM,"05Y",1600 17TH ST,Oakland,CA,2
ROBBERY,2026 Jun 28 04:00:00 AM,26-027527,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",23X,1200 36TH AV,Oakland,CA,4
PETTY THEFT,2026 Jun 28 06:00:00 AM,26-027724,THEFT:PERSONAL PROPERTY,32X,1200 104TH AV,Oakland,CA,6
PETTY THEFT,2026 Jun 28 09:00:00 AM,26-029837,THEFT,13Z,6300 CHELTON DR,Oakland,CA,9
PETTY THEFT,2026 Jun 28 09:00:00 AM,26-027541,THEFT,20X,2400 INTERNATIONAL BLVD,Oakland,CA,9
PETTY THEFT,2026 Jun 28 11:48:00 AM,26-027559,PETTY THEFT,"02Y",1400 8TH ST,Oakland,CA,11
PETTY THEFT,2026 Jun 28 11:48:00 AM,26-027559,TRESPASS:POSTED LAND:REFUSE TO LEAVE,"02Y",1400 8TH ST,Oakland,CA,11
GRAND THEFT,2026 Jun 28 02:02:00 PM,26-027565,GRAND THEFT,"03Y",400 7TH ST,Oakland,CA,14
PETTY THEFT,2026 Jun 28 02:06:00 PM,26-027571,THEFT,"07X",3200 HOLLIS ST,Oakland,CA,14
PETTY THEFT,2026 Jun 28 06:00:00 PM,26-027690,THEFT,"04X",1500 ALICE ST,Oakland,CA,18
ROBBERY,2026 Jun 28 06:46:00 PM,26-027596,ROBBERY-KNIFE OR CUTTING INSTRUMENT,19X,5TH AV & E 8TH ST,Oakland,CA,18
PETTY THEFT,2026 Jun 28 07:14:00 PM,26-027702,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,"08X",3000 BROADWAY,Oakland,CA,19
GRAND THEFT,2026 Jun 28 09:04:00 PM,26-027615,GRAND THEFT,"07X",3300 MANDELA PKWY,Oakland,CA,21
ROBBERY,2026 Jun 28 09:10:00 PM,26-027612,ROBBERY-FIREARM,32X,10100 INTERNATIONAL BLVD,Oakland,CA,21
ROBBERY,2026 Jun 28 11:00:00 PM,26-027658,CARJACKING WITH OTHER DANGEROUS WEAPON,30Y,8000 MACARTHUR BLVD,Oakland,CA,23
PETTY THEFT,2026 Jun 29 12:00:00 AM,26-027754,THEFT,28X,2800 BIRDSALL AV,Oakland,CA,0
PETTY THEFT,2026 Jun 29 08:00:00 AM,26-027739,THEFT,16Y,3900 GLEN PARK RD,Oakland,CA,8
PETTY THEFT,2026 Jun 29 09:30:00 AM,26-027713,THEFT,27X,1600 HIGH ST,Oakland,CA,9
PETTY THEFT,2026 Jun 29 01:05:00 PM,26-027717,THEFT,"09X",100 JOHN ST,Oakland,CA,13
GRAND THEFT,2026 Jun 29 02:00:00 PM,26-908480,GRAND THEFT,26X,700 KEVIN CT,Oakland,CA,14
GRAND THEFT,2026 Jun 29 04:00:00 PM,26-027954,THEFT,"08X",2300 VALDEZ ST,Oakland,CA,16
GRAND THEFT,2026 Jun 29 04:00:00 PM,26-027954,GRAND THEFT:FIREARM/ANIMAL/ETC,"08X",2300 VALDEZ ST,Oakland,CA,16
PETTY THEFT,2026 Jun 29 04:18:00 PM,26-027769,TRESPASS:OBSTRUCT/ETC BUSINESS OPERATIONS/ETC,"06X",600 26TH ST,Oakland,CA,16
PETTY THEFT,2026 Jun 29 04:18:00 PM,26-027769,THEFT:PERSONAL PROPERTY,"06X",600 26TH ST,Oakland,CA,16
PETTY THEFT,2026 Jun 29 05:00:00 PM,26-027867,THEFT,12Y,6000 CLAREMONT AV,Oakland,CA,17
PETTY THEFT,2026 Jun 29 05:00:00 PM,26-027921,THEFT,"02X",500 MANDELA PKWY,Oakland,CA,17
PETTY THEFT,2026 Jun 29 08:00:00 PM,26-027873,THEFT,13Z,2000 MOUNTAIN BLVD,Oakland,CA,20
PETTY THEFT,2026 Jun 29 08:00:00 PM,26-027927,THEFT,19X,900 INTERNATIONAL BLVD,Oakland,CA,20
PETTY THEFT,2026 Jun 29 09:00:00 PM,26-027895,THEFT,18X,1900 20TH AV,Oakland,CA,21
ROBBERY,2026 Jun 29 10:00:00 PM,26-027776,ROBBERY-FIREARM,14X,400 PERKINS ST,Oakland,CA,22
PETTY THEFT,2026 Jun 30 12:00:00 AM,26-029595,THEFT,29X,2500 61ST AV,Oakland,CA,0
PETTY THEFT,2026 Jun 30 12:00:00 AM,26-028057,THEFT,23X,1200 38TH AV,Oakland,CA,0
GRAND THEFT,2026 Jun 30 12:00:00 AM,26-028428,GRAND THEFT,"05X",1900 MARKET ST,Oakland,CA,0
GRAND THEFT,2026 Jun 30 12:00:00 AM,26-028428,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,"05X",1900 MARKET ST,Oakland,CA,0
PETTY THEFT,2026 Jun 30 12:00:00 AM,26-028023,THEFT,77X,ETTIE ST,Oakland,CA,0
GRAND THEFT,2026 Jun 30 12:01:00 AM,26-027887,GRAND THEFT,"09X",4100 MONTGOMERY ST,Oakland,CA,0
ROBBERY,2026 Jun 30 02:28:00 AM,26-027800,ATTEMPTED ROBBERY-FIREARM,33X,92ND AV & G ST,Oakland,CA,2
PETTY THEFT,2026 Jun 30 06:00:00 AM,26-027916,THEFT,23X,3400 FOOTHILL BLVD,Oakland,CA,6
ROBBERY,2026 Jun 30 07:20:00 AM,26-027821,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",22X,3500 FRUITVALE AV,Oakland,CA,7
PETTY THEFT,2026 Jun 30 12:30:00 PM,26-027901,THEFT,14Y,3200 GRAND AV,Oakland,CA,12
ROBBERY,2026 Jun 30 01:30:00 PM,26-027881,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","04X",2000 SAN PABLO AV,Oakland,CA,13
ROBBERY,2026 Jun 30 02:30:00 PM,26-027889,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",24X,3500 LYON AV,Oakland,CA,14
PETTY THEFT,2026 Jun 30 04:30:00 PM,26-027903,THEFT,77X,3800 TURQUOISE WY,Oakland,CA,16
PETTY THEFT,2026 Jun 30 05:00:00 PM,26-028074,THEFT,35X,2400 82ND AV,Oakland,CA,17
PETTY THEFT,2026 Jun 30 10:45:00 PM,26-027936,THEFT,"01X",300 OAK ST,Oakland,CA,22
PETTY THEFT,2026 Jun 30 11:00:00 PM,26-027993,THEFT,"03Y",400 7TH ST,Oakland,CA,23
PETTY THEFT,2026 Jul 01 12:00:00 AM,26-027983,THEFT,26Y,57TH AV & INTERNATIONAL BLVD,Oakland,CA,0
PETTY THEFT,2026 Jul 01 12:00:00 AM,26-029066,THEFT,31Z,800 100TH AV,Oakland,CA,0
PETTY THEFT,2026 Jul 01 02:30:00 AM,26-028080,THEFT,31Y,9900 MADDUX DR,Oakland,CA,2
GRAND THEFT,2026 Jul 01 07:00:00 AM,26-027976,THEFT,14X,300 LEE ST,Oakland,CA,7
PETTY THEFT,2026 Jul 01 09:05:07 AM,26-027977,THEFT,99X,1300 OAK ST,Oakland,CA,9
PETTY THEFT,2026 Jul 01 12:00:00 PM,26-028025,THEFT,19X,500 23RD AV,Oakland,CA,12
GRAND THEFT,2026 Jul 01 12:26:00 PM,26-028007,ATTEMPTED GRAND THEFT,31Y,9900 GIBRALTAR RD,Oakland,CA,12
GRAND THEFT,2026 Jul 01 12:36:00 PM,26-028016,THEFT,"02X",900 UNION ST,Oakland,CA,12
GRAND THEFT,2026 Jul 01 12:36:00 PM,26-028016,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,"02X",900 UNION ST,Oakland,CA,12
PETTY THEFT,2026 Jul 01 12:42:00 PM,26-028012,THEFT,"04X",1400 JEFFERSON ST,Oakland,CA,12
